Localidad;Tipo de propiedad;Direccion
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;CL64A#52-53 PARQUE CENTRAL SALITRE ETAPA III Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR63#77-27  Khami 63 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR48#98-81 CASTELLANA 98 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR65A#67-12  FERRARA Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;KR66#79A-82 METROPOLIS UNIDAD UNO Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL71#15-28 ECO LOFT ESTUDIOS  Bogota Colombia
BARRIOS UNIDOS;propiedad; KR 68 # 75 A 50  METROPOLIS + CENTRO COMERCIAL EMPRESARIAL Bogota Colombia
BARRIOS UNIDOS;EDIFICIO MULTIFAMILIAR;CL85A#20-61  BUENAVISTA Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL74#55-18  PARQUE EL SALITRE Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;DG75Bis#20-68 A Y B Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL99#49-78 CASTELLANA 99 BUSINESS CENTER Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR50A#66-66 AURORA Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL70#15-07 CALLE 70 Bogota Colombia
BARRIOS UNIDOS;UNIDAD RESIDENCIAL;AC68#59-67 MODELO NORTE 2 Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR65B#65-63 PORTAL DE LOS PARQUES I Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR20#63A-46 HELENA MARIA Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;CL64A#57-23 PARQUE CENTRAL SALITRE ETAPA IV Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR60#79B-04  ENTRE RIOS UNIDAD UNO  Bogota Colombia
BARRIOS UNIDOS;CENTRO;AC80#21-02  RESIDENCIAL EL LAGO Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL72A#20A-15  CAMACHO  Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR46#91-46 PASEO LA CASTELLANA Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR61A#94-75 ANDES RESERVADO 4 Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN;KR66#79A-30 METROPOLIS UNIDAD DOS Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL63#23-40 URAPANES Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR50B#64-43 CAMINO DEL VIENTO ETAPA 2 Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR58#80-25 ENTRE RIOS UNIDAD 8  Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL73#62-68 METROPOLIS 73 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL65A#45A-29IN2IN4 1C Bogota Colombia
BARRIOS UNIDOS;CONJUNTO MULTIFAMILIAR;KR32#91A-90 EL VERGEL Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR62#99-87 ARBOLEDA 100 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR15#68-31 TORRES DE LA 68 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL77#29B-32 LEOS Bogota Colombia
BARRIOS UNIDOS;CONJUNTO MULTIFAMILIAR;CL86#49A-51 SAN MARTIN Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL94#43B-39 PARQUE DE LOS ANDES Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;TV24#80-44 POLO REAL Bogota Colombia
BARRIOS UNIDOS;EDIFICIO MULTIFAMILIAR;KR61#78-39 SAN SIMON SETENTA Y OCHO Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;AK68#67F-64 J VARGAS  Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR23#72A-63 SAN FELIPE Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;CL78#56-44 METROPOLIS UNIDAD 13 Bogota Colombia
