Localidad,Tipo de propiedad,Direccion,latitud,longitud
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,CL79A#66-40 METROPOLIS UNIDAD ONCE 11 Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,UNIDAD RESIDENCIAL,CL67D#59-65 MODELO DEL NORTE Bogota Colombia,4.670179,-74.08232300000002
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,KR50#64-72 CAMINO DEL VIENTO ETAPA 3 Bogota Colombia,4.6598187,-74.0787868
BARRIOS UNIDOS,EDIFICIO,AK14#70-23 69A Bogota Colombia,4.6052994,-74.0788167
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,KR61#67A-65 EL PORTAL DEL J VARGAS Bogota Colombia,4.6695971,-74.0844822
BARRIOS UNIDOS,EDIFICIO,KR28B#75-50 LOMBARDIA Bogota Colombia,4.7474782,-74.1001374
BARRIOS UNIDOS,EDIFICIO,KR62#96-09 ANDRES Bogota Colombia,4.6664071,-74.05440759999999
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,AC100#67-25 PARQUE DEL NORTE PROPIEDAD HORIZONTAL Bogota Colombia,4.6884617,-74.07135269999999
BARRIOS UNIDOS,EDIFICIO,KR51#97A-37 DIANA Bogota Colombia,4.6860136,-74.0618808
BARRIOS UNIDOS,CENTRO COMERCIAL,CL66#58-07 PORTAL PLAZA Bogota Colombia,4.666324599999999,-74.0837853
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,CL79A#66-69 METROPOLIS UNIDAD QUINCE Bogota Colombia,4.6790361,-74.0770697
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,KR61A#90-94 ANDES RESERVADO II Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,propiedad,KR58#80-81  UNIDAD ONCE DEL CONJUNTO RESIDENCIAL ENTRE RIOS Bogota Colombia,4.678725500000001,-74.075396
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,CL90#49A-44 PASEO DE LA CASTELLANA Bogota Colombia,4.6791868,-74.06274719999999
BARRIOS UNIDOS,EDIFICIO,CL76#20B-68 CALLE 76 Bogota Colombia,4.664936,-74.06223899999999
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,KR66#76-66 METROPOLIS UNIDAD CINCO Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,KR62#64-75 EL LABRADOR II ETAPA Bogota Colombia,4.670326699999999,-74.08430609999999
BARRIOS UNIDOS,propiedad,KR67A#95-63  CONJUNTOS INMOBILIARIOS 68 AVENIDA 1 Y 2 Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,CL66#59-31 PARQUE DE LOS CIPRESES EDIFICIO VISTA AL PARQUE DEL SALITRE Bogota Colombia,4.663649,-74.08733749999999
BARRIOS UNIDOS,EDIFICIO,CL67A#30-41 SAINT MICHEL Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,AC100#46-51 ALTAVISTA Bogota Colombia,4.6834466,-74.0452331
BARRIOS UNIDOS,EDIFICIO,KR57#65A-17 RINCON DEL SALITRE II Bogota Colombia,4.6649796,-74.0824464
BARRIOS UNIDOS,EDIFICIO MULTIFAMILIAR,KR67#67A-76 EUCALIPTOS Bogota Colombia,4.6726295,-74.0882203
BARRIOS UNIDOS,EDIFICIO,CL66A#16-59 GOMEZ OL Bogota Colombia,4.6549871,-74.0662737
BARRIOS UNIDOS,EDIFICIO,KR28#72-15 MARIA ALICIA Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,CENTRO EMPRESARIAL,CL98A#51-37 ECOTORRE Bogota Colombia,4.6865625,-74.062072
BARRIOS UNIDOS,EDIFICIO,KR49#91-86 LA CASTELLANA 91 1 Bogota Colombia,4.680505699999999,-74.0619107
BARRIOS UNIDOS,EDIFICIO,CL64#17-60  LOFT 64  Bogota Colombia,4.6528412,-74.065291
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,KR45B#65-79 EL RINCON DEL SALITRE UIC Bogota Colombia,4.6637355,-74.0821496
BARRIOS UNIDOS,EDIFICIO,KR23#72A-37 CONDORES Bogota Colombia,4.6631063,-74.06613159999999
BARRIOS UNIDOS,EDIFICIO MULTIFAMILIAR,AC80#23-86 COLPATRIA SEGUNDO SECTOR  Bogota Colombia,4.6947594,-74.0878288
BARRIOS UNIDOS,EDIFICIO,CL94B#56-12 ARIES  Bogota Colombia,4.6837446,-74.0655374
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,KR66#79-44 METROPOLIS UNIDAD CUATRO  Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,MULTIFAMILIAR,KR19#63B-33 CASA BAQUERO PH Bogota Colombia,4.6522349,-74.06866649999999
BARRIOS UNIDOS,EDIFICIO,DG83#24-33 POLO 2 Bogota Colombia,4.703759,-74.0937736
BARRIOS UNIDOS,COPROPIEDAD,CL104#21-50 EDIFICIO MILENIO PH Bogota Colombia,4.6409375,-74.0620722
BARRIOS UNIDOS,,AK30#75-65 SORRENTO PI CENTRO DE NEGOCIOS Bogota Colombia,4.6539034,-74.0993715
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,KR62#64-75  EL LABRADOR PRIMERA ETAPA Bogota Colombia,4.670326699999999,-74.08430609999999
