DESC. CIIU1,Direccion,latitud,longitud
Alojamiento En Hoteles,CR 5 29 - 19 BARRIO GIRARDOT Bucaramanga SANTANDER Colombia,7.1201142,-73.135168
Alojamiento En Hoteles,CALLE 35 # 18 - 83 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.119736,-73.123541
Alojamiento En Hoteles,CARRERA 15 # 19 - 27 Bucaramanga SANTANDER Colombia,7.128298000000001,-73.12957
Alojamiento En Hoteles,CARRERA 17 A # 53 - 19 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia,7.109372,-73.11977
Alojamiento En Apartahoteles,AV QUEBRADASECA   29   09 AP 1102 Bucaramanga SANTANDER Colombia,7.123709799999999,-73.1254916
Alojamiento En Hoteles,CARRERA 17 C # 55 - 56 Bucaramanga SANTANDER Colombia,7.1083349,-73.1180213
Alojamiento En Apartahoteles,AV BUCAROS OESTE 3   155 TO 7 AP 906 Bucaramanga SANTANDER Colombia,7.1036513,-73.1269375
Alojamiento En Hoteles,CALLE 40 # 5 N - 114 BARRIO CAFÉ MADRID Bucaramanga SANTANDER Colombia,7.118832,-73.117111
Alojamiento En Hoteles,CR 6 43 N 02 BARRIO CAFÉ MADRID Bucaramanga SANTANDER Colombia,7.1530833,-73.1337914
Alojamiento En Hoteles,CR 17   55   55 BRR RICAURTE Bucaramanga SANTANDER Colombia,7.1077597,-73.1197406
Alojamiento En Hoteles,CARRERA 17 D # 58 - 52 OFICINA 301 Bucaramanga SANTANDER Colombia,7.1071011,-73.1170704
Alojamiento En Hoteles,CR 22   30   29 BRR ANTONIA SANTOS Bucaramanga SANTANDER Colombia,7.124307000000001,-73.122345
Alojamiento En Hoteles,CALLE 55 # 17 A - 120 Bucaramanga SANTANDER Colombia,7.108742299999999,-73.1183604
Alojamiento En Hoteles,CALLE 30 # 16 - 10 Bucaramanga SANTANDER Colombia,7.1222862,-73.1271375
Alojamiento En Hoteles,CALLE 35 # 18 - 33 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.1195794,-73.1239646
Alojamiento En Hoteles,CALLE 61 # 17 F - 15 Bucaramanga SANTANDER Colombia,7.1061947,-73.11497109999999
Alojamiento En Hoteles,CALLE 30 # 16 - 41 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.12244,-73.12686699999999
Alojamiento En Hoteles,CL 70   3   97 KM 2 VIA GIRON Bucaramanga SANTANDER Colombia,7.1013779,-73.11120609999999
Alojamiento En Hoteles,CALLE 33 # 32 - 90 Y 32 - 92 BARRIO EL PRADO Bucaramanga SANTANDER Colombia,7.1264154,-73.11300899999999
Alojamiento En Hoteles,Calle 31 # 20 -  52 Bucaramanga SANTANDER Colombia,7.1231347,-73.12320799999999
Alojamiento En Hoteles,CALLE 55 # 17 - 12 INCLUYENDO CALLE 55 # 17 - 35 BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.108416999999999,-73.11966199999999
Alojamiento En Hoteles,Calle 31 # 22 -  41 Bucaramanga SANTANDER Colombia,7.123894,-73.121776
Alojamiento En Hoteles,FINCA EL PROGRESO VEREDA SAN JOSE CASA 40 Bucaramanga SANTANDER Colombia,7.1164903,-73.1061172
Alojamiento En Hoteles,Carrera 18 # 20 -  29 Bucaramanga SANTANDER Colombia,7.127810800000001,-73.12690049999999
Alojamiento En Hoteles,Calle 61 # 17 -  38 Bucaramanga SANTANDER Colombia,7.1045421,-73.1179789
Alojamiento En Hoteles,CARRERA 17 # 55 - 03 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia,7.108231099999999,-73.1198756
Alojamiento En Hoteles,Calle 34 # 22 -  72 Local 1 Bucaramanga SANTANDER Colombia,7.1216902,-73.12075949999999
Alojamiento Rural,Vereda SANTA BARBARA 10 DE MAYO Finca EL CEDRO Bucaramanga SANTANDER Colombia,7.0613122,-73.0665899
Alojamiento En Hoteles,Carrera 17B # 54 -  12 Barrio RICAURTE Bucaramanga SANTANDER Colombia,7.1090773,-73.1193089
Alojamiento En Hoteles,CARRERA 22 # 30 - 69 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.1240076,-73.12218779999999
Alojamiento En Apartahoteles,Carrera 29 # 31 -  24 Apartamento 601 Edificio ARAMA Barrio LA AURORA Bucaramanga SANTANDER Colombia,7.126055,-73.11675
