DESC. CIIU1;Direccion
Alojamiento En Hoteles;CARRERA 22 # 30 - 69 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Apartahoteles;Carrera 29 # 31 -  24 Apartamento 601 Edificio ARAMA Barrio LA AURORA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 A # 28 - 46 PISO 2 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 17 A     58   15 BRR RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento Rural;CARRERA 6 # 60 - 03 CONJUNTO METROPOLIS 5 TORRE 13 APARTADO 402 BARRIO REAL DE MINAS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 19 # 37 -  26 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 18 # 30 -  36 Barrio CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 52B # 31 -  109 Barrio ANTIGUO CAMPESTRE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 56 # 17B -  44 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 17 # 24 -  45 Piso 3 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17A # 55 - 18 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Transversal METROPOLITANA # 13A -  65 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 55 # 17 A - 128 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento Rural;CARRERA 49 # 72 - 104 CASA C 1 CONJUNTO HACIENDA DEL CACIQUE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 33 # 30 -  44 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Kilómetro 4 Vía BUCARAMANGA-GIRON HOTEL SERVICOPETRAN Bucaramanga SANTANDER Colombia
Alojamiento Rural;CL 20 32 A 39 AP 1103 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 34 # 24 -  09 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 37 # 24 -  49 Oficina 1701 Barrio BOLIVAR Bucaramanga SANTANDER Colombia
Alojamiento Rural;Calle 36 # 34 -  02 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 21 # 34 -  35 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 34 # 30 -  47 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 51 # 72 -  98 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 17 # 31 -  31 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 31 # 19 -  71 Barrio CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 34 # 32 -  34 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 55 # 17A - 17 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 17B # 54 -  46 Barrio RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 # 24 -  71 Bucaramanga SANTANDER Colombia
Alojamiento En Apartahoteles;Carrera 40 # 46 -  09 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 17   34   08 BRR CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 21 # 31 -  58 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 31 # 17 -  71 Barrio CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 30 # 17 -  50 Barrio CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 41 # 10 -  12 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 17B # 54 -  54 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 42 # 27A -  78 Apartamento 904 Edificio MARQUES DE SOTOMAYOR Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 35 # 18 - 33 OFICINA 1 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 56 # 16 -  49 Barrio GÓMEZ NIÑO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 17 # 55  -  13 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 33 # 20 -  46 Bucaramanga SANTANDER Colombia
Alojamiento En Apartahoteles;Carrera 55 # 73 -  01 Casa 4 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 55 # 17 -  12 Barrio RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Apartahoteles;Calle 32 # 32 -  64 Local 11 Barrio LA AURORA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 34 # 22 -  72 Bucaramanga SANTANDER Colombia
Alojamiento Rural;CR 27   36   14 BRR BOLIVAR Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 54 # 17B -  47 Barrio LA CONCORDIA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 8 # 23N -  75 Lote N2 Barrio BAVARIA 2 Bucaramanga SANTANDER Colombia
Alojamiento Rural;Corregimiento 3 Vereda EL PEDREGAL Finca EL CEDRO Sector EDEN DEL PEDREGAL Bucaramanga SANTANDER Colombia
Alojamiento Rural;CR 40   44   06 TO 1 AP 15   03 ED DUBAI BRR CABECERRA DEL LLANO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 56 # 17 B - 44 Bucaramanga SANTANDER Colombia
